Partlist

Exported from DE_36_18v_9NL_24VDC_398x23.brd at 12-2-2018 12:52:40

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part     Value                         Package              Library  Position (mm)         Orientation

LD25     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (215.6667 11.5)       R0
LD26     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (226.7778 11.5)       R0
LD27     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (237.8889 11.5)       R0
LD28     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (242.9694 11.5)       R0
LD29     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (249 11.5)            R0
LD30     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (260.1111 11.5)       R0
LD31     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (271.2222 11.5)       R0
LD32     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (282.3333 11.5)       R0
LD33     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (287.4139 11.5)       R0
LD34     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (293.4444 11.5)       R0
LD35     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (304.5556 11.5)       R0
LD36     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (315.6667 11.5)       R0
LD37     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (326.7778 11.5)       R0
LD38     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (331.8583 11.5)       R0
LD39     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (337.8889 11.5)       R0
LD40     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (349 11.5)            R0
LD41     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (360.1111 11.5)       R0
LD42     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (371.2222 11.5)       R0
LD43     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (376.3028 11.5)       R0
LD44     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (382.3333 11.5)       R0
LD45     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (393.4444 11.5)       R0
LD46     LED_RGB_SEOUL_MP_3_5X2_8      LED_RGB_3_5X2_8      _DE      (21.2972 11.5)        R90
LD47     LED_RGB_SEOUL_MP_3_5X2_8      LED_RGB_3_5X2_8      _DE      (65.7417 11.5)        R90
LD48     LED_RGB_SEOUL_MP_3_5X2_8      LED_RGB_3_5X2_8      _DE      (110.1861 11.5)       R90
LD49     LED_RGB_SEOUL_MP_3_5X2_8      LED_RGB_3_5X2_8      _DE      (154.6306 11.5)       R90
LD50     LED_RGB_SEOUL_MP_3_5X2_8      LED_RGB_3_5X2_8      _DE      (199.075 11.5)        R90
LD51     LED_RGB_SEOUL_MP_3_5X2_8      LED_RGB_3_5X2_8      _DE      (243.5194 11.5)       R90
LD52     LED_RGB_SEOUL_MP_3_5X2_8      LED_RGB_3_5X2_8      _DE      (287.9639 11.5)       R90
LD53     LED_RGB_SEOUL_MP_3_5X2_8      LED_RGB_3_5X2_8      _DE      (332.4083 11.5)       R90
LD54     LED_RGB_SEOUL_MP_3_5X2_8      LED_RGB_3_5X2_8      _DE      (376.8528 11.5)       R90
R1       4K7_1206                      1206                 _DE      (82.2 16.8)           R90
R2       40R2_1206                     1206                 _DE      (92 16)               R180
R3       95R3_1206                     1206                 _DE      (93 19.6)             R90
R4       10K_1206_SURGE                1206                 _DE      (56.4 20.4)           R0
R5       4K7_1206                      1206                 _DE      (163.6 18)            R270
R6       44R2_0805                     0805                 _DE      (171 18)              R90
R7       95R3_1206                     1206                 _DE      (261 16.4)            R270
R8       40R2_1206                     1206                 _DE      (262 20)              R0
R9       4K7_1206                      1206                 _DE      (272 18)              R270
R10      10K_0805                      0805                 _DE      (275 18)              R90
R11      4K7_1206                      1206                 _DE      (277 15)              R0
R12      10K_1206_SURGE                1206                 _DE      (289 19)              R90
R13      95R3_1206                     1206                 _DE      (343 16.4)            R270
R14      40R2_1206                     1206                 _DE      (344 20)              R0
R15      4K7_1206                      1206                 _DE      (353.4 18)            R270
R16      4K7_1206                      1206                 _DE      (44.4 5)              R90
R17      40R2_1206                     1206                 _DE      (54 3)                R180
R18      95R3_1206                     1206                 _DE      (55 6.6)              R90
R19      10K_1206_SURGE                1206                 _DE      (109 4)               R270
R20      NTC_100K_0805                 0805                 _DE      (121 11.5)            R270
R21      4K7_1206                      1206                 _DE      (121 8)               R180
R22      10K_0805                      0805                 _DE      (123 5)               R270
R23      4K7_1206                      1206                 _DE      (126 5)               R90
R24      40R2_1206                     1206                 _DE      (136 3)               R180
R25      95R3_1206                     1206                 _DE      (137 6.6)             R90
R26      44R2_0805                     0805                 _DE      (227 5)               R270
R27      4K7_1206                      1206                 _DE      (235 5)               R90
R28      NTC_100K_0805                 0805                 _DE      (277 11.5)            R90
R29      95R3_1206                     1206                 _DE      (305 3.4)             R270
R30      40R2_1206                     1206                 _DE      (306 7)               R0
R31      4K7_1206                      1206                 _DE      (315.8 6.2)           R270
R32      DNA_for_36v_10R_1206          1206                 _DE      (147.5 11.5)          R180
R33      DNA_for_36v_10R_1206          1206                 _DE      (169.7222 11.5)       R180
R34      DNA_for_36v_10R_1206          1206                 _DE      (191.9444 11.5)       R180
R35      DNA_for_36v_10R_1206          1206                 _DE      (347.5 11.5)          R180
R36      DNA_for_36v_10R_1206          1206                 _DE      (369.7222 11.5)       R180
R37      DNA_for_36v_10R_1206          1206                 _DE      (391.9444 11.5)       R180
R38      10K_1206_SURGE                1206                 _DE      (268 7.6)             R0
R39      DNA_10K_1206_SURGE            1206                 _DE      (273 7.6)             R180
R40      10K_1206_SURGE                1206                 _DE      (135.2 15.4)          R180
R41      DNA_10K_1206_SURGE            1206                 _DE      (130.2 15.4)          R0
R42      10K_1206_SURGE                1206                 _DE      (80.8 20.6)           R0
R43      1K_0805                       0805                 _DE      (115.8 7)             R0
R44      1K_0805                       0805                 _DE      (112 7)               R0
R45      1K_0805                       0805                 _DE      (282.2 16)            R180
R46      1K_0805                       0805                 _DE      (286 16)              R0
R47      DNA_0R_0805                   0805                 _DE      (63.2 18.6)           R0
R48      10K_1206_SURGE                1206                 _DE      (341.6 2.6)           R180
R49      10K_1206_SURGE                1206                 _DE      (317.2 2.4)           R180
R50      DNA_0R_0805                   0805                 _DE      (334.8 4.4)           R180
R51      100R_2512_SURGE               2512                 _DE      (27.2 4.4)            R270
R52      100R_2512_SURGE               2512                 _DE      (370.4 18.6)          R90
R53      0R_0805                       0805                 _DE      (99.6 13)             R0
R54      0R_0805                       0805                 _DE      (99.6 9.8)            R0
R55      0R_0805                       0805                 _DE      (299.6 12.8)          R0
R56      0R_0805                       0805                 _DE      (299.6 10)            R0
SJ1      SOLDER_JUMPER_4P              SOLDER_JUMPER_4P     _DE      (159 18)              R90
SW1      DIPSWITCH_4P_CTS_218_4P       DIPSWITCH_CTS_218_4P _DE      (142.6 19)            R270
SW2      DIPSWITCH_4P_CTS_218_4P       DIPSWITCH_CTS_218_4P _DE      (243 4)               R270
T1       NFET_IRLML0060TRPBF_SOT23     SOT23                _DE      (90 19)               R180
