Partlist

Exported from DE_36_18v_9NL_24VDC_398x23.brd at 20-12-2017 21:47:01

EAGLE Version 5.11.0 Copyright (c) 1988-2010 CadSoft

Part     Value                         Package              Library  Position (mil)        Orientation

LD23     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (7815.945 452.756)    R0
LD24     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (8053.37 452.756)     R0
LD25     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (8490.815 452.756)    R0
LD26     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (8928.26 452.756)     R0
LD27     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (9365.705 452.756)    R0
LD28     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (9565.724 452.756)    R0
LD29     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (9803.15 452.756)     R0
LD30     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (10240.594 452.756)   R0
LD31     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (10678.039 452.756)   R0
LD32     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (11115.484 452.756)   R0
LD33     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (11315.508 452.756)   R0
LD34     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (11552.929 452.756)   R0
LD35     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (11990.378 452.756)   R0
LD36     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (12427.823 452.756)   R0
LD37     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (12865.268 452.756)   R0
LD38     LED_BLUE_3AN_PLCC4_SMALL_PAD  LED_PLCC4_SMALL_PAD  _DE      (13065.287 452.756)   R0
LD39     LED_5630_5630_C_AND_D_PACKAGE LED_5630             _DE      (13302.713 452.756)   R0
