Designator Footprint          Mid X         Mid Y         Ref X         Ref Y         Pad X         Pad Y TB      Rotation Comment   

IC5        SOP4             4265mil       1745mil       4265mil       1745mil       4315mil   1872.953mil  T        270.00 VOM617A   
D12        SMB              4200mil       2085mil       4200mil       2085mil       4200mil   2165.709mil  T         90.00 ES1B      
K7         MINI-PKS8        2815mil        340mil       2815mil        340mil       2290mil        340mil  T        360.00 691 243 310 008
K2         PKS4             2840mil       3230mil       2840mil       3230mil       2540mil       3230mil  T          0.00 691 253 510 002
K1         PKS3             1080mil        975mil       1080mil       1175mil       1080mil       1175mil  T        270.00 691 253 510 003
T47        SOT-23       3800.001mil       2310mil       3800mil       2310mil     3762.5mil       2270mil  T        360.00 PDTC114YT 
R11        R-300V           4500mil       2045mil       4500mil       2045mil       4500mil   1749.724mil  T         90.00 220k      
R22        0805             2190mil       1095mil       2190mil       1095mil       2190mil   1144.213mil  T        270.00 4k7       
D11        SMB              4330mil       2085mil       4330mil       2085mil       4330mil   2004.291mil  T        270.00 ES1B      
C14        WCAP-6.3         4015mil       1505mil       4015mil       1505mil       4015mil   1394.764mil  T        270.00 10uF      
C13        WCAP-6.3         1565mil       1770mil       1565mil       1770mil       1565mil   1659.764mil  T        270.00 10uF      
C11        0805             1790mil       2350mil       1790mil       2350mil       1790mil   2399.213mil  T        270.00 100n      
LOGO1      REMOPA LOGO MIDDEL     -51759mil     -53485mil       4115mil        425mil     -51759mil     -53485mil  T          0.00 REMOPA LOGO MIDDEL
IC1        TMPM-02-12      702.5mil       1765mil        135mil       1765mil        150mil       1470mil  T        360.00 IRM-02-12 
C12        WCAP-6.3         2800mil       1865mil       2800mil       1865mil       2800mil   1975.236mil  T         90.00 10uF      
K4         PKS3             4440mil       3230mil       4240mil       3230mil       4240mil       3230mil  T          0.00 691 253 510 003

